,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeScoreAverage,HomeDefenseAverage,AwayScoreAverage,AwayDefenseAverage,Result
0,2015-11-13,Hawaii,87,Montana State,76,87.0,76.0,76.0,87.0,11
1,2015-11-13,Eastern Michigan,70,Vermont,50,70.0,50.0,50.0,70.0,20
4,2015-11-13,Yale,70,Fairfield,57,70.0,57.0,57.0,70.0,13
6,2015-11-13,Central Michigan,89,Jacksonville State,83,89.0,83.0,83.0,89.0,6
8,2015-11-13,Iowa State,68,Colorado,62,68.0,62.0,62.0,68.0,6
9,2015-11-13,Ole Miss,90,Northwestern State,76,90.0,76.0,76.0,90.0,14
10,2015-11-13,Wright State,77,South Dakota,69,77.0,69.0,69.0,77.0,8
11,2015-11-13,Pennsylvania,76,Robert Morris,75,76.0,75.0,75.0,76.0,1
12,2015-11-13,Sacred Heart,76,Quinnipiac,64,76.0,64.0,64.0,76.0,12
15,2015-11-13,Clemson,74,North Carolina Central,40,74.0,40.0,40.0,74.0,34
17,2015-11-13,Duke,92,Siena,74,92.0,74.0,74.0,92.0,18
19,2015-11-13,Michigan State,82,Florida Atlantic,55,82.0,55.0,55.0,82.0,27
20,2015-11-13,Dayton,84,Southeast Missouri State,53,84.0,53.0,53.0,84.0,31
24,2015-11-13,Villanova,91,Fairleigh Dickinson,54,91.0,54.0,54.0,91.0,37
25,2015-11-13,Furman,63,Presbyterian,53,63.0,53.0,53.0,63.0,10
28,2015-11-13,West Virginia,107,Northern Kentucky,61,107.0,61.0,61.0,107.0,46
29,2015-11-13,Richmond,75,James Madison,87,75.0,87.0,87.0,75.0,-12
31,2015-11-13,Boston University,84,Northeastern,87,84.0,87.0,87.0,84.0,-3
32,2015-11-13,Miami (FL),86,Texas Rio Grande Valley,59,86.0,59.0,59.0,86.0,27
33,2015-11-13,Virginia Commonwealth,75,Prairie View A&M,50,75.0,50.0,50.0,75.0,25
34,2015-11-13,Old Dominion,67,Niagara,50,67.0,50.0,50.0,67.0,17
35,2015-11-13,Kentucky,78,Albany,65,78.0,65.0,65.0,78.0,13
36,2015-11-13,Indiana,88,Eastern Illinois,49,88.0,49.0,49.0,88.0,39
37,2015-11-13,Georgia,90,Chattanooga,92,90.0,92.0,92.0,90.0,-2
38,2015-11-13,Eastern Kentucky,107,Coppin State,80,107.0,80.0,80.0,107.0,27
39,2015-11-13,Cincinnati,97,Western Carolina,72,97.0,72.0,72.0,97.0,25
40,2015-11-13,Tennessee,82,UNC Asheville,78,82.0,78.0,78.0,82.0,4
41,2015-11-13,Syracuse,57,Lehigh,47,57.0,47.0,47.0,57.0,10
42,2015-11-13,George Washington,85,Lafayette,76,85.0,76.0,76.0,85.0,9
45,2015-11-13,Louisville,86,Samford,45,86.0,45.0,45.0,86.0,41
47,2015-11-13,Xavier,81,Miami (OH),72,81.0,72.0,72.0,81.0,9
48,2015-11-13,Charleston,74,South Carolina State,54,74.0,54.0,54.0,74.0,20
49,2015-11-13,Hofstra,96,Canisius,85,96.0,85.0,85.0,96.0,11
50,2015-11-13,North Carolina,91,Temple,67,91.0,67.0,67.0,91.0,24
51,2015-11-13,Seton Hall,84,Dartmouth,67,84.0,67.0,67.0,84.0,17
52,2015-11-13,Indiana State,70,IUPUI,72,70.0,72.0,72.0,70.0,-2
53,2015-11-13,Marist,64,Holy Cross,67,64.0,67.0,67.0,64.0,-3
54,2015-11-13,Virginia,86,Morgan State,48,86.0,48.0,48.0,86.0,38
55,2015-11-13,George Mason,53,Colgate,66,53.0,66.0,66.0,53.0,-13
56,2015-11-13,Rider,56,Princeton,64,56.0,64.0,64.0,56.0,-8
58,2015-11-13,New Mexico,86,Texas Southern,57,86.0,57.0,57.0,86.0,29
60,2015-11-13,Loyola (MD),71,Tennessee State,86,71.0,86.0,86.0,71.0,-15
63,2015-11-13,Arizona State,63,Sacramento State,66,63.0,66.0,66.0,63.0,-3
64,2015-11-13,Connecticut,100,Maine,56,100.0,56.0,56.0,100.0,44
65,2015-11-13,Notre Dame,87,St Francis (PA),56,87.0,56.0,56.0,87.0,31
67,2015-11-13,Denver,58,Milwaukee,71,58.0,71.0,71.0,58.0,-13
70,2015-11-13,Arkansas,86,Southern University,68,86.0,68.0,68.0,86.0,18
71,2015-11-13,Wake Forest,78,UMBC,73,78.0,73.0,73.0,78.0,5
72,2015-11-13,Kansas State,80,Maryland-Eastern Shore,53,80.0,53.0,53.0,80.0,27
73,2015-11-13,St Bonaventure,63,Binghamton,53,63.0,53.0,53.0,63.0,10
74,2015-11-13,Oklahoma State,91,Tennessee-Martin,57,91.0,57.0,57.0,91.0,34
75,2015-11-13,Southern Illinois,77,Air Force,75,77.0,75.0,75.0,77.0,2
76,2015-11-13,Rhode Island,65,American University,42,65.0,42.0,42.0,65.0,23
77,2015-11-13,Illinois,81,North Florida,93,81.0,93.0,93.0,81.0,-12
78,2015-11-13,Delaware State,56,Delaware,62,56.0,62.0,62.0,56.0,-6
80,2015-11-13,Vanderbilt,80,Austin Peay,41,80.0,41.0,41.0,80.0,39
81,2015-11-13,Illinois-Chicago,75,San Francisco,78,75.0,78.0,78.0,75.0,-3
83,2015-11-13,East Carolina,61,Grambling State,53,61.0,53.0,53.0,61.0,8
84,2015-11-13,Oral Roberts,80,Missouri State,65,80.0,65.0,65.0,80.0,15
85,2015-11-13,Loyola (IL),76,UTSA,64,76.0,64.0,64.0,76.0,12
86,2015-11-13,Central Connecticut State,83,Hartford,92,83.0,92.0,92.0,83.0,-9
88,2015-11-13,Northern Illinois,83,Cal State Northridge,71,83.0,71.0,71.0,83.0,12
89,2015-11-13,Nebraska-Omaha,59,UC Santa Barbara,60,59.0,60.0,60.0,59.0,-1
90,2015-11-13,Bradley,54,Ball State,53,54.0,53.0,53.0,54.0,1
91,2015-11-13,USC,83,San Diego,45,83.0,45.0,45.0,83.0,38
93,2015-11-13,Kansas,109,Northern Colorado,72,109.0,72.0,72.0,109.0,37
94,2015-11-13,Northwestern,79,Massachusetts-Lowell,57,79.0,57.0,57.0,79.0,22
97,2015-11-13,Wichita State,88,Charleston Southern,63,88.0,63.0,63.0,88.0,25
103,2015-11-13,Alabama,77,Kennesaw State,64,77.0,64.0,64.0,77.0,13
104,2015-11-13,Charlotte,74,Elon,85,74.0,85.0,85.0,74.0,-11
105,2015-11-13,UC Davis,71,North Dakota State,79,71.0,79.0,79.0,71.0,-8
108,2015-11-13,Georgia Tech,116,Cornell,81,116.0,81.0,81.0,116.0,35
110,2015-11-13,South Florida,77,Troy,82,77.0,82.0,82.0,77.0,-5
111,2015-11-13,Valparaiso,78,Purdue Fort Wayne,64,78.0,64.0,64.0,78.0,14
112,2015-11-13,Washington State,82,Northern Arizona,70,82.0,70.0,70.0,82.0,12
114,2015-11-13,BYU,85,Utah Valley,54,85.0,54.0,54.0,85.0,31
115,2015-11-13,Stanford,93,Green Bay,89,93.0,89.0,89.0,93.0,4
116,2015-11-13,Montana,74,Boise State,72,74.0,72.0,72.0,74.0,2
117,2015-11-13,LSU,81,McNeese State,70,81.0,70.0,70.0,81.0,11
118,2015-11-13,Wisconsin,67,Western Illinois,69,67.0,69.0,69.0,67.0,-2
119,2015-11-13,SIU-Edwardsville,79,Arkansas State,70,79.0,70.0,70.0,79.0,9
121,2015-11-13,Coastal Carolina,56,Nevada,73,56.0,73.0,73.0,56.0,-17
122,2015-11-13,Minnesota,76,UMKC,58,76.0,58.0,58.0,76.0,18
123,2015-11-13,Grand Canyon,82,Portland State,72,82.0,72.0,72.0,82.0,10
124,2015-11-13,Weber State,70,Utah State,73,70.0,73.0,73.0,70.0,-3
126,2015-11-13,Texas Tech,77,High Point,73,77.0,73.0,73.0,77.0,4
127,2015-11-13,New Mexico State,91,Houston Baptist,69,91.0,69.0,69.0,91.0,22
128,2015-11-13,Marquette,80,Belmont,83,80.0,83.0,83.0,80.0,-3
129,2015-11-13,Missouri,83,Wofford,74,83.0,74.0,74.0,83.0,9
130,2015-11-13,Mississippi State,106,Eastern Washington,88,106.0,88.0,88.0,106.0,18
131,2015-11-13,Baylor,97,Stephen F Austin,55,97.0,55.0,55.0,97.0,42
134,2015-11-13,Iowa,76,Gardner-Webb,59,76.0,59.0,59.0,76.0,17
135,2015-11-13,TCU,90,Southeastern Louisiana,77,90.0,77.0,77.0,90.0,13
136,2015-11-13,Arizona,79,Pacific,61,79.0,61.0,61.0,79.0,18
138,2015-11-13,Auburn,75,UAB,74,75.0,74.0,74.0,75.0,1
139,2015-11-13,Navy,41,Florida,59,41.0,59.0,59.0,41.0,-18
141,2015-11-13,Oregon,80,Jackson State,52,80.0,52.0,52.0,80.0,28
142,2015-11-13,Fresno State,69,Pepperdine,66,69.0,66.0,66.0,69.0,3
143,2015-11-13,Washington,77,Texas,71,77.0,71.0,71.0,77.0,6
144,2015-11-13,Loyola Marymount,79,Cal State Fullerton,74,79.0,74.0,74.0,79.0,5
145,2015-11-13,San Diego State,71,Illinois State,60,71.0,60.0,60.0,71.0,11
146,2015-11-13,Santa Clara,63,Lipscomb,65,63.0,65.0,65.0,63.0,-2
149,2015-11-13,UNLV,74,Cal Poly,72,74.0,72.0,72.0,74.0,2
150,2015-11-13,Seattle,56,Arkansas-Pine Bluff,58,56.0,58.0,58.0,56.0,-2
151,2015-11-13,Utah,82,Southern Utah,71,82.0,71.0,71.0,82.0,11
153,2015-11-13,UCLA,81,Monmouth,84,81.0,84.0,84.0,81.0,-3
154,2015-11-13,California,97,Rice,65,97.0,65.0,65.0,97.0,32
155,2015-11-14,Massachusetts,85,Howard,79,85.0,79.0,79.0,85.0,6
156,2015-11-14,Northern Iowa,78,Colorado State,84,78.0,84.0,84.0,78.0,-6
157,2015-11-14,Georgetown,80,Radford,82,80.0,82.0,82.0,80.0,-2
158,2015-11-14,Penn State,62,Virginia Military,50,62.0,50.0,50.0,62.0,12
159,2015-11-14,Ohio,85,Florida Gulf Coast,75,85.0,75.0,75.0,85.0,10
160,2015-11-14,Bowling Green,79,New Orleans,61,79.0,61.0,61.0,79.0,18
162,2015-11-14,Appalachian State,76,Jacksonville,68,76.0,68.0,68.0,76.0,8
163,2015-11-14,Boston College,75,St Francis (BKN),49,75.0,49.0,49.0,75.0,26
165,2015-11-14,La Salle,78,Towson,76,78.0,76.0,76.0,78.0,2
166,2015-11-14,Winthrop,102,Hampton,95,102.0,95.0,95.0,102.0,7
169,2015-11-14,Northern Illinois,72,South Dakota,65,77.5,68.0,67.0,74.5,7
170,2015-11-14,Tulsa,98,Central Arkansas,81,98.0,81.0,81.0,98.0,17
173,2015-11-14,Wright State,67,Cal State Northridge,72,72.0,70.5,71.5,75.0,-5
174,2015-11-14,South Carolina,84,Norfolk State,69,84.0,69.0,69.0,84.0,15
176,2015-11-14,Providence,76,Harvard,64,76.0,64.0,64.0,76.0,12
177,2015-11-14,Virginia Tech,82,Alabama State,85,82.0,85.0,85.0,82.0,-3
178,2015-11-14,Kent State,79,Youngstown State,70,79.0,70.0,70.0,79.0,9
183,2015-11-14,Butler,144,Citadel,71,144.0,71.0,71.0,144.0,73
184,2015-11-14,Davidson,90,UCF,85,90.0,85.0,85.0,90.0,5
185,2015-11-14,Nebraska,97,Mississippi Valley State,51,97.0,51.0,51.0,97.0,46
186,2015-11-14,Memphis,67,Southern Miss,49,67.0,49.0,49.0,67.0,18
187,2015-11-14,Duke,113,Bryant University,75,102.5,74.5,75.0,113.0,38
188,2015-11-14,SMU,85,Sam Houston State,50,85.0,50.0,50.0,85.0,35
189,2015-11-14,Kentucky,87,NJIT,57,82.5,61.0,57.0,87.0,30
192,2015-11-14,Texas-Arlington,77,Fordham,72,77.0,72.0,72.0,77.0,5
194,2015-11-14,Lipscomb,65,Milwaukee,71,65.0,71.0,71.0,61.5,-6
195,2015-11-14,Akron,65,Cleveland State,53,65.0,53.0,53.0,65.0,12
196,2015-11-14,DePaul,69,Western Michigan,63,69.0,63.0,63.0,69.0,6
199,2015-11-14,Creighton,93,Texas Southern,70,93.0,70.0,63.5,89.5,23
201,2015-11-14,San Jose State,54,Idaho,74,54.0,74.0,74.0,54.0,-20
202,2015-11-14,Santa Clara,33,Denver,55,48.0,60.0,55.0,33.0,-22
204,2015-11-15,Rutgers,82,Howard,70,77.0,64.5,74.5,83.5,12
205,2015-11-15,Bucknell,82,Wake Forest,90,94.5,75.5,90.0,82.0,-8
206,2015-11-15,Seton Hall,69,Wagner,59,76.5,63.0,58.0,67.5,10
207,2015-11-15,Clemson,78,UTSA,45,76.0,42.5,54.5,77.0,33
208,2015-11-15,Cincinnati,106,Robert Morris,44,101.5,58.0,59.5,91.0,62
210,2015-11-15,Binghamton,60,Army,75,60.0,75.0,75.0,60.0,-15
211,2015-11-15,South Dakota,76,Cal State Northridge,72,76.0,72.0,71.66666666666667,75.33333333333333,4
212,2015-11-15,Purdue,107,Vermont,79,94.0,59.5,64.5,88.5,28
213,2015-11-15,Valparaiso,83,Iona,58,80.5,61.0,58.0,83.0,25
214,2015-11-15,Illinois,80,North Dakota State,74,80.5,83.5,76.5,75.5,6
215,2015-11-15,Minnesota,67,Louisiana-Monroe,56,71.5,57.0,56.0,67.0,11
216,2015-11-15,Florida State,109,Nicholls State,62,109.0,62.0,62.0,109.0,47
217,2015-11-15,Denver,82,Lipscomb,69,70.0,70.0,67.0,72.5,13
218,2015-11-15,Evansville,80,Southeast Missouri State,65,80.0,65.0,59.0,82.0,15
223,2015-11-15,North Carolina,92,Fairfield,65,91.5,66.0,61.0,81.0,27
224,2015-11-15,Pennsylvania,77,Central Connecticut State,61,76.5,68.0,61.0,77.0,16
225,2015-11-15,Western Carolina,90,UNC Asheville,81,90.0,81.0,79.5,86.0,9
226,2015-11-15,Northern Illinois,65,Wright State,59,73.33333333333333,65.0,59.0,65.0,6
227,2015-11-15,Iowa,103,Coppin State,68,89.5,63.5,74.0,105.0,35
229,2015-11-15,Richmond,108,Stetson,85,91.5,86.0,85.0,108.0,23
231,2015-11-15,Saint Louis,85,Hartford,68,85.0,68.0,80.0,84.0,17
232,2015-11-15,Seattle,65,Sacramento State,77,60.5,67.5,71.5,64.0,-12
233,2015-11-15,Santa Clara,65,Milwaukee,71,53.666666666666664,63.666666666666664,71.0,62.666666666666664,-6
234,2015-11-15,Missouri,73,Maryland-Eastern Shore,55,78.0,64.5,54.0,76.5,18
235,2015-11-15,North Carolina State,88,South Alabama,70,78.0,77.5,70.0,88.0,18
238,2015-11-15,Nevada,83,Montana State,62,83.0,62.0,69.0,85.0,21
240,2015-11-15,UC Davis,79,Portland,66,75.0,72.5,66.0,79.0,13
241,2015-11-15,Stanford,93,Charleston Southern,59,93.0,74.0,61.0,90.5,34
242,2015-11-15,Wisconsin,92,Siena,65,79.5,67.0,69.5,92.0,27
243,2015-11-15,UC Irvine,77,Loyola Marymount,53,83.0,63.0,53.0,77.0,24
244,2015-11-15,New Mexico State,74,New Mexico,83,82.5,76.0,83.0,74.0,-9
245,2015-11-15,Hawaii,74,Coastal Carolina,63,80.5,69.5,63.0,74.0,11
246,2015-11-15,UCLA,88,Cal Poly,83,84.5,83.5,77.5,81.0,5
247,2015-11-16,Long Beach State,66,BYU,65,78.5,61.0,65.0,66.0,1
248,2015-11-16,Navy,58,Charleston,72,49.5,65.5,72.0,58.0,-14
251,2015-11-16,Savannah State,59,Campbell,57,73.0,63.0,57.0,59.0,2
252,2015-11-16,North Carolina-Wilmington,78,Eastern Kentucky,59,89.0,60.5,59.0,78.0,19
253,2015-11-16,Boston University,69,Albany,64,76.5,75.5,64.5,73.5,5
254,2015-11-16,Indiana,102,Austin Peay,76,95.0,62.5,58.5,91.0,26
255,2015-11-16,Duquesne,95,New Orleans,75,95.5,73.0,68.0,87.0,20
256,2015-11-16,Old Dominion,77,Buffalo,58,72.0,54.0,58.0,77.0,19
257,2015-11-16,Michigan,88,Elon,68,79.0,56.0,76.5,81.0,20
258,2015-11-16,Yale,99,Sacred Heart,77,84.5,67.0,77.0,99.0,22
259,2015-11-16,Miami (FL),93,Louisiana-Lafayette,77,89.5,68.0,77.0,93.0,16
260,2015-11-16,Presbyterian,74,USC Upstate,73,74.0,73.0,68.5,89.0,1
262,2015-11-16,North Florida,106,Texas Rio Grande Valley,84,106.0,84.0,71.5,96.0,22
263,2015-11-16,Virginia Commonwealth,92,Radford,74,83.5,62.0,78.0,86.0,18
264,2015-11-16,Indiana State,70,Wyoming,55,70.0,63.5,55.0,70.0,15
266,2015-11-16,West Virginia,86,James Madison,73,96.5,67.0,80.0,80.5,13
267,2015-11-16,South Florida,57,NJIT,60,67.0,71.0,58.5,72.0,-3
269,2015-11-16,Canisius,98,Lehigh,89,98.0,89.0,68.0,77.5,9
270,2015-11-16,Colgate,98,Cornell,101,98.0,101.0,91.0,107.0,-3
271,2015-11-16,East Carolina,88,Charlotte,74,74.5,63.5,74.0,88.0,14
273,2015-11-16,Georgia Tech,69,Tennessee,67,92.5,74.0,67.0,69.0,2
274,2015-11-16,Ohio,75,Tennessee State,67,80.0,71.0,76.5,73.0,8
275,2015-11-16,Mercer,69,George Mason,60,82.5,65.0,60.0,69.0,9
276,2015-11-16,Brown,71,Holy Cross,55,71.0,55.0,61.0,67.5,16
277,2015-11-16,Towson,69,Morgan State,61,69.0,61.0,54.5,77.5,8
280,2015-11-16,Ball State,73,Eastern Illinois,56,73.0,56.0,52.5,80.5,17
283,2015-11-16,Tennessee-Martin,79,Bethune-Cookman,86,79.0,86.0,86.0,79.0,-7
284,2015-11-16,George Washington,73,Virginia,68,79.0,72.0,68.0,73.0,5
286,2015-11-16,Loyola (MD),68,LIU Brooklyn,71,69.5,78.5,71.0,68.0,-3
287,2015-11-16,South Carolina,84,Oral Roberts,66,84.0,67.5,66.0,84.0,18
293,2015-11-16,South Dakota State,85,Weber State,68,86.0,60.0,68.0,85.0,17
298,2015-11-16,Iowa State,106,Chicago State,64,87.0,63.0,64.0,106.0,42
299,2015-11-16,Oklahoma State,86,Arkansas-Pine Bluff,72,88.5,64.5,65.0,71.0,14
300,2015-11-16,Mississippi State,72,Southern University,76,89.0,82.0,72.0,79.0,-4
301,2015-11-16,Illinois State,67,Morehead State,66,67.0,66.0,66.0,67.0,1
302,2015-11-16,Tulane,79,Drake,74,73.0,71.0,74.0,79.0,5
303,2015-11-16,Ole Miss,82,Georgia Southern,72,86.0,74.0,72.0,82.0,10
304,2015-11-16,Vanderbilt,98,Gardner-Webb,62,89.0,51.5,60.5,87.0,36
305,2015-11-16,Arizona,90,Bradley,60,84.5,60.5,60.0,90.0,30
308,2015-11-16,Air Force,80,Tennessee Tech,70,80.0,70.0,70.0,80.0,10
309,2015-11-16,LSU,91,Kennesaw State,69,86.0,69.5,66.5,84.0,22
311,2015-11-16,Boise State,101,Northern Arizona,81,101.0,81.0,75.5,91.5,20
312,2015-11-16,UAB,72,Alabama State,70,72.0,70.0,77.5,77.0,2
313,2015-11-16,Kansas State,81,Columbia,71,80.5,62.0,71.0,81.0,10
314,2015-11-16,Marquette,75,IUPUI,71,77.5,77.0,71.5,72.5,4
315,2015-11-16,Utah,81,San Diego State,76,81.5,73.5,76.0,81.0,5
316,2015-11-16,Fresno State,80,Lamar,72,74.5,69.0,72.0,80.0,8
317,2015-11-16,San Jose State,64,Montana,61,59.0,67.5,61.0,64.0,3
319,2015-11-16,USC,101,Monmouth,90,92.0,67.5,87.0,91.0,11
320,2015-11-16,San Francisco,80,Rice,54,80.0,54.0,59.5,88.5,26
322,2015-11-16,California,85,UC Santa Barbara,67,91.0,66.0,63.5,72.0,18
323,2015-11-16,Arizona State,83,Belmont,74,73.0,70.0,78.5,81.5,9
326,2015-11-16,Oregon,74,Baylor,67,77.0,59.5,67.0,74.0,7
327,2015-11-17,Hawaii,76,Nevada,75,79.0,71.33333333333333,74.0,66.0,1
328,2015-11-17,East Tennessee State,103,Green Bay,90,105.0,74.5,89.5,98.0,13
329,2015-11-17,Northern Iowa,70,Stephen F Austin,60,74.0,72.0,57.5,83.5,10
330,2015-11-17,Rhode Island,55,Valparaiso,58,60.0,50.0,58.0,55.0,-3
331,2015-11-17,Dayton,80,Alabama,48,82.0,50.5,48.0,80.0,32
332,2015-11-17,Auburn,84,Colorado,91,79.5,82.5,76.5,76.0,-7
333,2015-11-17,Memphis,78,Oklahoma,84,72.5,66.5,84.0,78.0,-6
334,2015-11-17,Penn State,68,DePaul,62,65.0,56.0,62.0,68.0,6
335,2015-11-17,Citadel,94,Stetson,93,94.0,93.0,89.0,101.0,1
336,2015-11-17,Xavier,78,Missouri,66,79.5,69.0,66.0,78.0,12
342,2015-11-17,La Salle,73,Rider,60,75.5,68.0,60.0,73.0,13
343,2015-11-17,Marist,73,Dartmouth,63,68.5,65.0,65.0,78.5,10
345,2015-11-17,Ohio State,82,Grambling State,55,79.0,54.5,64.33333333333333,56.333333333333336,27
347,2015-11-17,Connecticut,85,New Hampshire,66,92.5,61.0,66.0,85.0,19
348,2015-11-17,Appalachian State,70,Furman,79,73.0,73.5,79.0,70.0,-9
350,2015-11-17,Delaware State,54,Pennsylvania,60,55.0,61.0,60.0,54.0,-6
351,2015-11-17,Syracuse,79,St Bonaventure,66,68.0,56.5,66.0,79.0,13
353,2015-11-17,Notre Dame,86,Milwaukee,78,86.5,67.0,72.75,68.5,8
355,2015-11-17,Western Michigan,74,San Diego,62,74.0,62.0,53.5,78.5,12
357,2015-11-17,Louisville,87,Hartford,52,86.5,48.5,70.66666666666667,85.0,35
360,2015-11-17,Harvard,63,Massachusetts,69,61.0,54.0,69.0,63.0,-6
362,2015-11-17,Louisiana Tech,80,Texas-Arlington,68,87.5,50.5,68.0,80.0,12
364,2015-11-17,Duke,63,Kentucky,74,89.33333333333333,74.33333333333333,74.0,63.0,-11
367,2015-11-17,American University,48,Hampton,61,48.0,61.0,78.0,75.0,-13
368,2015-11-17,Creighton,103,UTSA,78,98.0,74.0,62.333333333333336,85.66666666666667,25
369,2015-11-17,Wisconsin,78,North Dakota,64,79.0,66.0,64.0,78.0,14
370,2015-11-17,Southern Miss,60,Jackson State,78,60.0,78.0,65.0,70.0,-18
373,2015-11-17,Western Illinois,84,Illinois-Chicago,57,89.0,57.0,57.0,84.0,27
374,2015-11-17,Tulsa,77,Wichita State,67,87.5,74.0,67.0,77.0,10
375,2015-11-17,Murray State,76,Middle Tennessee,65,90.5,60.0,65.0,76.0,11
376,2015-11-17,Nebraska-Omaha,95,UMKC,89,86.0,69.0,73.5,85.5,6
378,2015-11-17,Villanova,87,Nebraska,63,89.0,58.5,63.0,87.0,24
380,2015-11-17,Maryland,75,Georgetown,71,77.5,63.5,71.0,75.0,4
382,2015-11-17,Florida State,98,Jacksonville,79,103.5,70.5,73.5,87.0,19
384,2015-11-17,Cal State Bakersfield,68,Idaho,45,80.5,57.0,59.5,61.0,23
385,2015-11-17,Oregon State,93,Iona,73,83.5,62.5,65.5,88.0,20
386,2015-11-17,Pacific,76,Cal State Fullerton,77,76.0,77.0,75.5,77.5,-1
387,2015-11-17,Michigan State,79,Kansas,73,80.5,64.0,73.0,79.0,6
389,2015-11-18,Eastern Washington,76,Seattle,70,101.0,67.0,70.0,76.0,6
390,2015-11-18,Cornell,76,Binghamton,59,76.0,59.0,56.0,69.5,17
392,2015-11-18,Vermont,83,Quinnipiac,70,83.0,70.0,67.0,79.5,13
393,2015-11-18,Old Dominion,79,Morgan State,48,74.33333333333333,52.0,52.333333333333336,78.0,31
394,2015-11-18,North Carolina,78,Wofford,58,87.0,63.333333333333336,66.0,80.5,20
395,2015-11-18,Virginia Tech,71,Jacksonville State,62,76.5,73.5,72.5,80.0,9
396,2015-11-18,Drexel,66,High Point,75,66.0,75.0,74.0,71.5,-9
399,2015-11-18,Purdue,96,Incarnate Word,61,94.66666666666667,60.0,61.0,96.0,35
401,2015-11-18,UMBC,57,Loyola (MD),76,57.0,76.0,76.0,57.0,-19
402,2015-11-18,Youngstown State,78,Toledo,100,78.0,100.0,100.0,78.0,-22
403,2015-11-18,Fairleigh Dickinson,85,Army,96,98.0,83.0,85.5,72.5,-11
404,2015-11-18,Belmont,90,Western Kentucky,85,90.0,85.0,85.0,90.0,5
405,2015-11-18,Niagara,75,Brown,66,75.0,66.0,65.5,76.0,9
406,2015-11-18,North Carolina State,79,IUPUI,56,78.33333333333333,70.33333333333333,66.33333333333333,74.66666666666667,23
407,2015-11-18,Savannah State,76,Arkansas State,75,74.0,67.0,72.5,77.5,1
408,2015-11-18,Bowling Green,50,Cincinnati,83,64.5,72.0,83.0,50.0,-33
409,2015-11-18,Providence,60,Illinois,59,68.0,61.5,59.0,60.0,1
410,2015-11-18,Oakland,91,Eastern Michigan,81,91.0,81.0,81.0,91.0,10
412,2015-11-18,UCF,60,UC Irvine,61,60.0,61.0,61.0,60.0,-1
416,2015-11-18,Wake Forest,82,Richmond,91,80.0,82.0,91.0,82.0,-9
417,2015-11-18,Robert Morris,76,Bucknell,81,76.0,81.0,81.0,76.0,-5
419,2015-11-18,Massachusetts-Lowell,87,Sacred Heart,84,87.0,84.0,80.5,93.0,3
423,2015-11-18,Austin Peay,77,Purdue Fort Wayne,80,77.0,80.0,72.0,77.5,-3
425,2015-11-18,Northwestern,79,Fairfield,72,79.0,64.5,64.66666666666667,80.33333333333333,7
428,2015-11-18,Southern Illinois,72,Kent State,69,76.66666666666667,65.0,69.0,72.0,3
429,2015-11-18,SIU-Edwardsville,60,Saint Louis,70,69.5,70.0,70.0,60.0,-10
430,2015-11-18,Houston,110,Prairie View A&M,69,110.0,69.0,59.5,92.5,41
431,2015-11-18,Arkansas,80,Akron,88,83.0,78.0,88.0,80.0,-8
434,2015-11-18,Arizona State,91,Kennesaw State,53,79.0,64.33333333333333,62.0,86.33333333333333,38
435,2015-11-18,Gonzaga,91,Northern Arizona,52,91.0,52.0,67.66666666666667,91.33333333333333,39
436,2015-11-18,New Mexico,75,Loyola (IL),51,80.5,54.0,51.0,75.0,24
437,2015-11-18,Denver,75,Utah Valley,62,71.66666666666667,67.33333333333333,58.0,80.0,13
441,2015-11-18,New Mexico State,76,Tennessee Tech,63,80.33333333333333,71.66666666666667,66.5,78.0,13
443,2015-11-18,UNLV,84,Southern Utah,64,88.33333333333333,60.333333333333336,67.5,83.0,20
444,2015-11-19,Minnesota,70,Temple,75,71.0,63.0,71.0,80.5,-5
445,2015-11-19,George Mason,68,Ole Miss,62,60.5,64.0,62.0,68.0,6
446,2015-11-19,Missouri State,59,Butler,93,59.0,93.0,93.0,59.0,-34
447,2015-11-19,Towson,52,Oklahoma State,69,60.5,65.0,69.0,52.0,-17
448,2015-11-19,Mississippi State,79,Miami (FL),105,85.66666666666667,89.66666666666667,105.0,79.0,-26
449,2015-11-19,Boston College,82,Central Connecticut State,57,78.5,53.0,59.0,79.5,25
452,2015-11-19,Indiana,86,Creighton,65,92.0,63.333333333333336,65.0,86.0,21
453,2015-11-19,Tennessee,84,Marshall,74,83.0,76.0,74.0,84.0,10
455,2015-11-19,Texas Tech,63,Utah,73,70.0,73.0,73.0,63.0,-10
456,2015-11-19,Charlotte,77,Furman,68,75.5,76.5,73.5,73.5,9
457,2015-11-19,LIU Brooklyn,84,Maine,79,84.0,79.0,67.5,92.0,5
458,2015-11-19,Clemson,76,Texas Southern,56,76.0,47.0,61.0,85.0,20
459,2015-11-19,South Florida,67,George Washington,73,67.0,71.66666666666667,73.0,67.0,-6
461,2015-11-19,Georgia Tech,107,Green Bay,77,97.33333333333333,75.0,85.33333333333333,101.0,30
462,2015-11-19,Massachusetts,89,Central Arkansas,62,87.0,70.5,71.5,93.5,27
463,2015-11-19,Seton Hall,77,Long Beach State,80,76.66666666666667,68.66666666666667,80.0,77.0,-3
464,2015-11-19,Albany,88,Colgate,67,88.0,67.0,66.5,70.5,21
